route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Red,377,377_2108_UP,淡水站,,,,,1,
Red,377,377_2120_UP,北投站,,,,,1,
Red,377,377_2125_DN,大安站,,,,,1,
Red,377,377_2126_UP,北投站,,,,,1,
Red,377,377_2129_DN,大安站,,,,,1,
Red,377,377_2132_UP,淡水站,,,,,1,
Red,377,377_2133_DN,象山站,,,,,1,
Red,377,377_2136_UP,淡水站,,,,,1,
Red,377,377_2142_UP,北投站,,,,,1,
Red,377,377_2145_DN,大安站,,,,,1,
Red,377,377_2146_UP,北投站,,,,,1,
Red,377,377_2157_DN,象山站,,,,,1,
Red,377,377_2159_DN,象山站,,,,,1,
Red,377,377_2160_UP,北投站,,,,,1,
Red,377,377_2163_DN,象山站,,,,,1,
Red,377,377_2169_DN,大安站,,,,,1,
Red,377,377_2171_DN,大安站,,,,,1,
Red,377,377_2175_DN,大安站,,,,,1,
Red,377,377_2177_DN,象山站,,,,,1,
Red,377,377_2181_DN,象山站,,,,,1,
Red,377,377_2186_UP,北投站,,,,,1,
Red,377,377_2187_DN,象山站,,,,,1,
Red,377,377_2192_UP,北投站,,,,,1,
Red,377,377_2195_DN,象山站,,,,,1,
Red,377,377_2197_DN,象山站,,,,,1,
Red,377,377_2199_DN,象山站,,,,,1,
Red,377,377_2202_UP,北投站,,,,,1,
Red,377,377_2204_UP,北投站,,,,,1,
Red,377,377_2206_UP,北投站,,,,,1,
Red,377,377_2215_DN,象山站,,,,,1,
Red,377,377_2217_DN,象山站,,,,,1,
Red,377,377_2218_UP,北投站,,,,,1,
Red,377,377_2222_UP,北投站,,,,,1,
Red,377,377_2225_DN,象山站,,,,,1,
Red,377,377_2234_UP,北投站,,,,,1,
Red,377,377_2237_DN,象山站,,,,,1,
Red,377,377_2238_UP,北投站,,,,,1,
Red,377,377_2244_UP,淡水站,,,,,1,
Red,377,377_2249_DN,象山站,,,,,1,
Red,377,377_2260_UP,北投站,,,,,1,
Red,377,377_2264_UP,北投站,,,,,1,
Red,377,377_2265_DN,大安站,,,,,1,
Red,377,377_2266_UP,北投站,,,,,1,
Red,377,377_2269_DN,象山站,,,,,1,
Red,377,377_2273_DN,大安站,,,,,1,
Red,377,377_2275_DN,大安站,,,,,1,
Orange,389,389_1003_DN,南勢角站,,,,,1,
Orange,389,389_1004_UP,迴龍站,,,,,1,
Orange,389,389_1019_DN,南勢角站,,,,,1,
Orange,389,389_1021_DN,南勢角站,,,,,1,
Orange,389,389_1025_DN,南勢角站,,,,,1,
Orange,389,389_1028_UP,迴龍站,,,,,1,
Orange,389,389_1039_DN,南勢角站,,,,,1,
Orange,389,389_1041_DN,南勢角站,,,,,1,
Orange,389,389_1043_DN,南勢角站,,,,,1,
Orange,389,389_1045_DN,南勢角站,,,,,1,
Orange,389,389_1048_UP,蘆洲站,,,,,1,
Orange,389,389_1049_DN,南勢角站,,,,,1,
Orange,389,389_1051_DN,南勢角站,,,,,1,
Orange,389,389_1054_UP,迴龍站,,,,,1,
Orange,389,389_1065_DN,南勢角站,,,,,1,
Orange,389,389_1066_UP,迴龍站,,,,,1,
Orange,389,389_1067_DN,南勢角站,,,,,1,
Orange,389,389_1071_DN,南勢角站,,,,,1,
Orange,389,389_1075_DN,南勢角站,,,,,1,
Orange,389,389_1078_UP,迴龍站,,,,,1,
Orange,389,389_1089_DN,南勢角站,,,,,1,
Orange,389,389_1093_DN,南勢角站,,,,,1,
Orange,389,389_1094_UP,迴龍站,,,,,1,
Orange,389,389_1096_UP,迴龍站,,,,,1,
Orange,389,389_1100_UP,迴龍站,,,,,1,
Orange,389,389_1102_UP,迴龍站,,,,,1,
Orange,389,389_1109_DN,南勢角站,,,,,1,
Orange,389,389_1110_UP,迴龍站,,,,,1,
Orange,389,389_1112_UP,迴龍站,,,,,1,
Orange,389,389_1113_DN,南勢角站,,,,,1,
Orange,389,389_1123_DN,南勢角站,,,,,1,
Orange,389,389_1131_DN,南勢角站,,,,,1,
Orange,389,389_1135_DN,南勢角站,,,,,1,
Orange,389,389_1137_DN,南勢角站,,,,,1,
Orange,389,389_1143_DN,南勢角站,,,,,1,
Orange,389,389_1148_UP,迴龍站,,,,,1,
Orange,389,389_1150_UP,蘆洲站,,,,,1,
Orange,389,389_1157_DN,南勢角站,,,,,1,
Orange,389,389_1159_DN,南勢角站,,,,,1,
Orange,389,389_1167_DN,南勢角站,,,,,1,
Orange,389,389_1175_DN,南勢角站,,,,,1,
Orange,389,389_1184_UP,迴龍站,,,,,1,
Orange,389,389_1186_UP,迴龍站,,,,,1,
Orange,389,389_1187_DN,南勢角站,,,,,1,
Orange,389,389_1191_DN,南勢角站,,,,,1,
Orange,389,389_1195_DN,南勢角站,,,,,1,
Orange,389,389_1208_UP,迴龍站,,,,,1,
Orange,389,389_1225_DN,南勢角站,,,,,1,
Orange,389,389_1226_UP,迴龍站,,,,,1,
Orange,389,389_1228_UP,迴龍站,,,,,1,
Orange,389,389_1233_DN,南勢角站,,,,,1,
Red,377,377_1233_DN,象山站,,,,,1,
Red,377,377_1234_UP,淡水站,,,,,1,
Red,377,377_1249_DN,象山站,,,,,1,
Red,377,377_1253_DN,象山站,,,,,1,
Red,377,377_1263_DN,象山站,,,,,1,
Red,377,377_1275_DN,象山站,,,,,1,
Red,377,377_1282_UP,淡水站,,,,,1,
Red,377,377_1285_DN,象山站,,,,,1,
Red,377,377_1291_DN,象山站,,,,,1,
Red,377,377_1293_DN,象山站,,,,,1,
Red,377,377_1294_UP,淡水站,,,,,1,
Red,377,377_1302_UP,淡水站,,,,,1,
Red,377,377_1308_UP,淡水站,,,,,1,
Red,377,377_1315_DN,象山站,,,,,1,
Red,377,377_1320_UP,北投站,,,,,1,
Red,377,377_1324_UP,北投站,,,,,1,
Red,377,377_1332_UP,淡水站,,,,,1,
Red,377,377_2003_DN,象山站,,,,,1,
Red,377,377_2007_DN,大安站,,,,,1,
Red,377,377_2012_UP,北投站,,,,,1,
Red,377,377_2013_DN,大安站,,,,,1,
Red,377,377_2018_UP,北投站,,,,,1,
Red,377,377_2019_DN,象山站,,,,,1,
Red,377,377_2020_UP,北投站,,,,,1,
Red,377,377_2022_UP,北投站,,,,,1,
Red,377,377_2028_UP,北投站,,,,,1,
Red,377,377_2030_UP,北投站,,,,,1,
Red,377,377_2035_DN,大安站,,,,,1,
Red,377,377_2036_UP,北投站,,,,,1,
Red,377,377_2038_UP,北投站,,,,,1,
Red,377,377_2040_UP,北投站,,,,,1,
Red,377,377_2042_UP,淡水站,,,,,1,
Red,377,377_2044_UP,淡水站,,,,,1,
Red,377,377_2045_DN,象山站,,,,,1,
Red,377,377_2053_DN,大安站,,,,,1,
Red,377,377_2058_UP,北投站,,,,,1,
Red,377,377_2059_DN,大安站,,,,,1,
Red,377,377_2062_UP,北投站,,,,,1,
Red,377,377_2064_UP,北投站,,,,,1,
Red,377,377_2069_DN,象山站,,,,,1,
Red,377,377_2073_DN,象山站,,,,,1,
Red,377,377_2074_UP,淡水站,,,,,1,
Red,377,377_2075_DN,象山站,,,,,1,
Red,377,377_2078_UP,北投站,,,,,1,
Red,377,377_2080_UP,北投站,,,,,1,
Red,377,377_2085_DN,大安站,,,,,1,
Red,377,377_2086_UP,北投站,,,,,1,
Red,377,377_2089_DN,象山站,,,,,1,
